data,hora,natureza_acidente,situacao,bairro,endereco,detalhe_endereco_acidente,complemento,bairro_cruzamento,sentido_via,tipo,descricao,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimasfatais,acidente_verificado,tempo_clima,situacao_semaforo,sinalizacao,condicao_via,conservacao_via,ponto_controle,situacao_placa,velocidade_max_via,mao_direcao,divisao_via1,natureza,ano,mes,dia,dia_semana,hora_ocorrencia
2020-01-01,00:39:00,SEM VÍTIMA,CANCELADA,ÁGUA FRIA,RUA SAO SEBASTIAO,Não informado,EM FRENTE A IGREJA UNIVERSAL,ÁGUA FRIA,Não informado,COLISÃO,COLISÃO ENTRE DOIS AUTOS S/V,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,60.0,Não informado,Não informado,Não informado,2020,1,1,2,0.0
2020-01-01,01:04:00,SEM VÍTIMA,FINALIZADA,CORDEIRO,AV CAXANGA,AV GENERAL SAN MARTIN,Não informado,CORDEIRO,SUBURBIO,ABALROAMENTO LONGITUDINAL,COLISÃO ENTRE DOIS AUTOS S/V,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não informado,60.0,Dupla,Canteiro central,Não informado,2020,1,1,2,1.0
2020-01-01,02:16:00,SEM VÍTIMA,FINALIZADA,AREIAS,AV RECIFE,Não informado,LADO OPOSTO AO RESIDENCIAL IGNEZ ANDREAZZA,AREIAS,SUBURBIO,CHOQUE VEÍCULO PARADO,COLISÃO ENTRE DOIS AUTOS S/V,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,60.0,Dupla,Canteiro central,Não informado,2020,1,1,2,2.0
2020-01-01,02:22:00,SEM VÍTIMA,FINALIZADA,BOA VIAGEM,AV BOA VIAGEM,Não informado,EM FRENTE AO 1º JARDIM B. VIAGEM,BOA VIAGEM,CIDADE,COLISÃO TRASEIRA,COLISÃO ENTRE DOIS AUTOS S/V,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,R-6a,60.0,Única,Faixa seccionada,Não informado,2020,1,1,2,2.0
2020-01-01,03:33:00,SEM VÍTIMA,FINALIZADA,PAISSANDU,AV GOVERNADOR AGAMENON MAGALHAES,Não informado,CAIXA ECONÔMICA FEDERAL ILHA DO LEITE,PAISSANDU,SUBURBIO,ABALROAMENTO TRANSVERSAL,COLISÃOENTRE DOIS AUTOS S/V,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,60.0,Única,Faixa contínua,Não informado,2020,1,1,2,3.0
2020-01-01,04:18:00,SEM VÍTIMA,FINALIZADA,BARRO,AV DR JOSE RUFINO,Não informado,Não informado,BARRO,SUBURBIO,COLISÃO TRASEIRA,COLISÃO ENTRE DOIS AUTOS S/V,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Ilegível,Seca,Mal conservada,Não existe,Não há placas,60.0,Dupla,Faixa seccionada,Não informado,2020,1,1,2,4.0
2020-01-01,04:47:00,SEM VÍTIMA,FINALIZADA,PINA,AV CONSELHEIRO AGUIAR,AV HERCULANO BANDEIRA,Não informado,PINA,Não informado,CHOQUE OBJETO FIXO,AUTO CHOCOU-SE EM MURO DE UMA RESIDENCIA E EM UM POSTE S/V,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,R-6a,60.0,Única,Faixa seccionada,Não informado,2020,1,1,2,4.0
2020-01-01,09:06:00,COM VÍTIMA,FINALIZADA,PINA,AVENIDA CELSO FURTADO (VIA MANGUE),Não informado,PROX: SHOPPING RIO MAR . ULTIMA CURVA ANTES DO SHPPING RIO MAR,PINA,BOA VIAGEM,CHOQUE OBJETO FIXO,COLISAO COM DUAS VITIMA. MOTO COM GLADIO  DA VIA,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não informado,Não há placas,60.0,Dupla,Faixa seccionada,Não informado,2020,1,1,2,9.0
2020-01-01,10:07:00,COM VÍTIMA,FINALIZADA,MADALENA,EST DOS REMEDIOS,Não informado,LADO OPOSTO AO LESSA DE ANDRADE,MADALENA,SUBURBIO,CHOQUE OBJETO FIXO,PEGEOUT SE CHOCOU COM POSTE E COM O GRADIL DA LOJA DE VEÍCULOS PROVOCANDO AVARIAS EM UM VEÍCULO,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Placas Pare,60.0,Única,Faixa seccionada,Não informado,2020,1,1,2,10.0
2020-01-01,12:09:00,SEM VÍTIMA,FINALIZADA,NOVA DESCOBERTA,RUA NOVA DESCOBERTA,Não informado,Não informado,NOVA DESCOBERTA,CIDADE,CHOQUE VEÍCULO PARADO,COLISÃO SEM VÍTIMA,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,60.0,Dupla,Faixa seccionada,Não informado,2020,1,1,2,12.0
2020-01-01,15:00:00,SEM VÍTIMA,FINALIZADA,ROSARINHO,RUA CAPITAO SAMPAIO XAVIER,Não informado,PORTAL DA PICANHA,ROSARINHO,SUBURBIO,ABALROAMENTO TRANSVERSAL,COLISÃO S/VITIMAS ENTRE DOIS AUTOS,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Outras,60.0,Dupla,Não existe,Não informado,2020,1,1,2,15.0
2020-01-01,15:03:00,SEM VÍTIMA,FINALIZADA,TORRÕES,RUA QUINZE DE MARCO,AV ENGENHEIRO ABDIAS DE CARVALHO,AO LADO DA PRAÇA DA CHESF,TORRÕES,Não informado,COLISÃO TRASEIRA,COLISÃO SEM VÍTIMA,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,40.0,Única,Faixa seccionada,Não informado,2020,1,1,2,15.0
2020-01-01,16:46:00,SEM VÍTIMA,FINALIZADA,BOMBA DO HEMETÉRIO,RUA BOMBA DO HEMETERIO,Não informado,Não informado,BOMBA DO HEMETÉRIO,CIDADE,COLISÃO FRONTAL,COLISÃO SEM VÍTIMA,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Incompleta,Seca,Perfeito estado,Não existe,R-6a,60.0,Dupla,Faixa contínua,Não informado,2020,1,1,2,16.0
2020-01-01,16:56:00,SEM VÍTIMA,FINALIZADA,SAN MARTIN,RUA VINTE E UM DE ABRIL,RUA OUREM,LOJA MULTILAR,SAN MARTIN,SUBURBIO,ABALROAMENTO TRANSVERSAL,COLISÃO S/VITIMAS UMA MOTO E UM AUTO,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,60.0,Dupla,Não existe,Não informado,2020,1,1,2,16.0
2020-01-01,23:46:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA DEZ DE JULHO,RUA CAMBOIM,APÓS A ESTAÇÃO AEROPORTO / NA RUA DO SALÃO DE FESTA MAISON CRISTAL,BOA VIAGEM,BEIRA MAR,COLISÃO FRONTAL,ENTRE AUTO E MOTO. C/V,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Outros,Placas Pare,60.0,Única,Faixa seccionada,Não informado,2020,1,1,2,23.0
2020-01-01,23:50:00,SEM VÍTIMA,FINALIZADA,CORDEIRO,AV ENGENHEIRO ABDIAS DE CARVALHO,AV GENERAL SAN MARTIN,SEMÁFORO Nº 058,CORDEIRO,SUBURBIO,ABALROAMENTO TRANSVERSAL,ENTRE 2 AUTOS. S/V,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,60.0,Dupla,Faixa contínua,Não informado,2020,1,1,2,23.0
2020-01-02,06:14:00,COM VÍTIMA,FINALIZADA,AREIAS,AV RECIFE,RUA GONCALVES DE MAGALHAES,E/F A AMERICA FILM E POSTO IPIRANGA,AREIAS,CIDADE,ABALROAMENTO LONGITUDINAL,COLISÃO C/VITIMA ENTRE UMA MOTO E UM ONIBUS,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,60.0,Dupla,Canteiro central,Não informado,2020,1,2,3,6.0
2020-01-02,07:20:00,SEM VÍTIMA,FINALIZADA,PAISSANDU,AV GOVERNADOR AGAMENON MAGALHAES,Não informado,SOB O SEMÁFORO,PAISSANDU,Não informado,COLISÃO TRASEIRA,COLISÃO S/VITIMAS ENTRE DOIS AUTOS ENTRE DOIS AUTOS (GM EVANDRO E EVERTON SILVA NO QTH),2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Agente,Outras,60.0,Única,Faixa seccionada,Não informado,2020,1,2,3,7.0
2020-01-02,08:48:00,SEM VÍTIMA,FINALIZADA,IPSEP,RUA JEAN EMILE FAVRE,RUA ARQUITETO LUIZ NUNES,SEMÁFORO 636,IPSEP,SUBURBIO,ABALROAMENTO LONGITUDINAL,SEM VITIMAS,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,60.0,Única,Faixa contínua,Não informado,2020,1,2,3,8.0
2020-01-02,08:56:00,SEM VÍTIMA,FINALIZADA,MADALENA,RUA DES LUIZ SALAZAR,RUA PESSOA DE MELO,Não informado,MADALENA,CIDADE,ABALROAMENTO TRANSVERSAL,SEM VITIMAS,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Não existe,Não existente,Seca,Perfeito estado,Não existe,R-6a,60.0,Dupla,Não existe,Não informado,2020,1,2,3,8.0
2020-01-02,09:14:00,SEM VÍTIMA,FINALIZADA,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,RUA CAFESOPOLIS,POSTO BR,IMBIRIBEIRA,CIDADE,COLISÃO TRASEIRA,COLISÃO S/VITIMAS ENTRE DOIS AUTOS,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Não há placas,60.0,Dupla,Canteiro central,Não informado,2020,1,2,3,9.0
