natureza_acidente,situacao,bairro,bairro_cruzamento,sentido_via,tipo,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,acidente_verificado,tempo_clima,situacao_semaforo,sinalizacao,condicao_via,conservacao_via,ponto_controle,situacao_placa,mao_direcao,divisao_via1,ano,mes,dia,dia_semana,vitima
COM VÍTIMA,FINALIZADA,PARNAMIRIM,PARNAMIRIM,CIDADE,ABALROAMENTO TRANSVERSAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Esquina,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,Única,Faixa seccionada,2020,4,1,2,0
SEM VÍTIMA,FINALIZADA,DOIS IRMÃOS,DOIS IRMÃOS,Não informado,ABALROAMENTO LONGITUDINAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Sem defeito,Incompleta,Não informado,Não informado,Não existe,R-6a,Dupla,Não existe,2020,1,15,2,0
Não informado,FINALIZADA,BOA VISTA,BOA VISTA,CIDADE,COLISÃO LATERAL,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Outras,Única,Faixa seccionada,2022,1,26,2,1
COM VÍTIMA,FINALIZADA,SANTO AMARO,SANTO AMARO,SUBURBIO,COLISÃO COM CICLISTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,Dupla,Faixa contínua,2021,10,9,5,0
Não informado,FINALIZADA,SANTO AMARO,SANTO AMARO,SUBURBIO,CHOQUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Longo da via,Bom,Não existe,Não existente,Seca,Perfeito estado,Não existe,Não há placas,Única,Não informado,2022,6,13,0,0
COM VÍTIMA,FINALIZADA,JAQUEIRA,JAQUEIRA,Não informado,COLISÃO COM CICLISTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Sem defeito,Ilegível,Seca,Perfeito estado,Agente,R-6a,Dupla,Faixa seccionada,2020,11,12,3,0
SEM VÍTIMA,FINALIZADA,TAMARINEIRA,TAMARINEIRA,SUBURBIO,COLISÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Agente,Outras,Dupla,Faixa contínua,2020,6,2,1,0
SEM VÍTIMA,FINALIZADA,IPSEP,IPSEP,SUBURBIO,ABALROAMENTO TRANSVERSAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,Dupla,Faixa contínua,2020,1,14,1,0
COM VÍTIMA,FINALIZADA,BOA VIAGEM,BOA VIAGEM,CIDADE,COLISÃO LATERAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não existe,Outras,Única,Faixa contínua,2021,5,27,3,0
SEM VÍTIMA,FINALIZADA,IMBIRIBEIRA,IMBIRIBEIRA,Não informado,ABALROAMENTO TRANSVERSAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Não existe,Incompleta,Seca,Perfeito estado,Não existe,Placas Pare,Única,Faixa seccionada,2020,2,10,0,0
COM VÍTIMA,FINALIZADA,CASA AMARELA,CASA AMARELA,CIDADE,ABALROAMENTO TRANSVERSAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Outras,Única,Faixa contínua,2020,7,19,6,0
SEM VÍTIMA,CANCELADA,CORDEIRO,CORDEIRO,Não informado,COLISÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2020,1,22,2,0
COM VÍTIMA,FINALIZADA,ENGENHO DO MEIO,ENGENHO DO MEIO,SUBURBIO,ABALROAMENTO LONGITUDINAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Não existe,Não informado,Seca,Perfeito estado,Não existe,Placas Pare,Dupla,Não existe,2020,9,18,4,0
SEM VÍTIMA,FINALIZADA,CABANGA,CABANGA,Não informado,COLISÃO LATERAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Não existente,Seca,Perfeito estado,Não existe,Não há placas,Dupla,Não existe,2021,4,27,1,0
COM VÍTIMA,FINALIZADA,IPSEP,IPSEP,CEASA,COLISÃO COM CICLISTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,R-32,Dupla,Canteiro central,2020,7,9,3,0
SEM VÍTIMA,FINALIZADA,AFOGADOS,AFOGADOS,Não informado,CAPOTAMENTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2020,8,3,0,0
SEM VÍTIMA,CANCELADA,CORDEIRO,CORDEIRO,Não informado,COLISÃO FRONTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2021,11,22,0,0
Não informado,FINALIZADA,ESPINHEIRO,ESPINHEIRO,SUBURBIO,COLISÃO LATERAL,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Agente,R-6a,Única,Faixa contínua,2022,11,21,0,1
SEM VÍTIMA,FINALIZADA,VÁRZEA,VÁRZEA,SUBURBIO,ABALROAMENTO TRANSVERSAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Faixa de pedestre,Placas Pare,Única,Faixa seccionada,2020,2,4,1,0
SEM VÍTIMA,FINALIZADA,JARDIM SÃO PAULO,JARDIM SÃO PAULO,SUBURBIO,CHOQUE OBJETO FIXO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cruzamento,Bom,Não existe,Incompleta,Seca,Mal conservada,Não existe,Não há placas,Dupla,Não existe,2020,1,4,5,0
COM VÍTIMA,FINALIZADA,ROSARINHO,ROSARINHO,CIDADE,TOMBAMENTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Chuvoso,Sem defeito,Perfeito estado,Molhada,Perfeito estado,Outros,R-6a,Dupla,Faixa contínua,2020,4,16,3,0
COM VÍTIMA,FINALIZADA,LINHA DO TIRO,LINHA DO TIRO,SUBURBIO,CAPOTAMENTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Não informado,Seca,Perfeito estado,Não existe,Não informado,Dupla,Não existe,2021,11,19,4,0
COM VÍTIMA,FINALIZADA,SANTO AMARO,SANTO AMARO,SUBURBIO,COLISÃO TRASEIRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não existe,Não há placas,Dupla,Canteiro central,2021,2,9,1,0
COM VÍTIMA,CANCELADA,MANGABEIRA,MANGABEIRA,Não informado,COLISÃO LATERAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2021,12,4,5,0
Não informado,FINALIZADA,VÁRZEA,VÁRZEA,CIDADE,CHOQUE,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Chuvoso,Não existe,Não existente,Molhada,Mal conservada,Não existe,Não há placas,Dupla,Não existe,2022,3,22,1,0
SEM VÍTIMA,FINALIZADA,CASA FORTE,CASA FORTE,CIDADE,COLISÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Chuvoso,Sem defeito,Perfeito estado,Molhada,Perfeito estado,Faixa de pedestre,R-6a,Dupla,Faixa seccionada,2020,2,19,2,0
COM VÍTIMA,FINALIZADA,CORDEIRO,CORDEIRO,Não informado,COLISÃO FRONTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Ilegível,Seca,Mal iluminada,Não existe,Não há placas,Dupla,Não existe,2021,1,10,6,0
SEM VÍTIMA,FINALIZADA,IPUTINGA,IPUTINGA,Não informado,ABALROAMENTO LONGITUDINAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Longo da via,Bom,Não existe,Não informado,Seca,Não informado,Não existe,R-6a,Única,Não existe,2020,3,12,3,0
SEM VÍTIMA,FINALIZADA,BOA VISTA,BOA VISTA,Não informado,COLISÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2020,3,11,2,0
